"age","sex","smoker","qx","mx"
80,"Female","non_smoker",0.02691,0.0272787036431286
81,"Female","non_smoker",0.03106,0.0315525885131064
82,"Female","non_smoker",0.03515,0.0357826301397722
83,"Female","non_smoker",0.03961,0.0404158270174442
84,"Female","non_smoker",0.04497,0.0460125253822385
85,"Female","non_smoker",0.05319,0.0546568395053934
86,"Female","non_smoker",0.06047,0.0623755287597698
87,"Female","non_smoker",0.06864,0.0711093954587117
88,"Female","non_smoker",0.07821,0.0814378470947768
89,"Female","non_smoker",0.08884,0.0930367659689944
90,"Female","non_smoker",0.10049,0.105905108365964
91,"Female","non_smoker",0.11292,0.119820109082309
92,"Female","non_smoker",0.12641,0.135144120943459
93,"Female","non_smoker",0.14096,0.151939792307878
94,"Female","non_smoker",0.1558,0.169365845633739
95,"Female","non_smoker",0.17179,0.188488533565395
96,"Female","non_smoker",0.19155,0.212636444796313
97,"Female","non_smoker",0.21329,0.239895586401937
98,"Female","non_smoker",0.23702,0.270523460361019
99,"Female","non_smoker",0.26244,0.304407838145173
100,"Female","non_smoker",0.28919,0.341350114145567
101,"Female","non_smoker",0.3133,0.375857763355506
102,"Female","non_smoker",0.33747,0.411689439128137
103,"Female","non_smoker",0.36133,0.44836738992638
104,"Female","non_smoker",0.3845,0.485320333357629
105,"Female","non_smoker",0.4066,0.521886571125416
106,"Female","non_smoker",0.42726,0.557323417425571
107,"Female","non_smoker",0.44611,0.590789167906376
108,"Female","non_smoker",0.46277,0.621328970769476
109,"Female","non_smoker",0.47686,0.647906164314359
110,"Female","non_smoker",0.488,0.669430653942629
111,"Female","non_smoker",0.49583,0.684841766196859
112,"Female","non_smoker",0.5,0.693147180559945
113,"Female","non_smoker",0.5,0.693147180559945
114,"Female","non_smoker",0.5,0.693147180559945
115,"Female","non_smoker",0.5,0.693147180559945
116,"Female","non_smoker",0.5,0.693147180559945
117,"Female","non_smoker",0.5,0.693147180559945
118,"Female","non_smoker",0.5,0.693147180559945
119,"Female","non_smoker",0.5,0.693147180559945
120,"Female","non_smoker",0.5,0.693147180559945
18,"Male","smoker",0.00069,0.000690238159559667
19,"Male","smoker",0.00065,0.000650211341586356
20,"Male","smoker",0.00063,0.000630198533388422
21,"Male","smoker",0.00058,0.000580168265065663
22,"Male","smoker",0.00054,0.000540145852509252
23,"Male","smoker",5e-04,0.000500125041682243
24,"Male","smoker",0.00046,0.000460105832456547
25,"Male","smoker",0.00042,0.000420088224703758
26,"Male","smoker",0.00039,0.000390076069778787
27,"Male","smoker",0.00036,0.000360064815556227
28,"Male","smoker",0.00033,0.000330054461982018
29,"Male","smoker",0.00032,0.000320051210925276
30,"Male","smoker",0.00031,0.000310048059932675
31,"Male","smoker",0.00032,0.000320051210925276
32,"Male","smoker",0.00032,0.000320051210925276
33,"Male","smoker",0.00033,0.000330054461982018
34,"Male","smoker",0.00034,0.000340057813104682
35,"Male","smoker",0.00034,0.000340057813104682
36,"Male","smoker",0.00036,0.000360064815556227
37,"Male","smoker",0.00038,0.000380072218295928
38,"Male","smoker",0.00041,0.000410084072980755
39,"Male","smoker",0.00044,0.000440096828404036
40,"Male","smoker",0.00049,0.000490120089230741
41,"Male","smoker",0.00054,0.000540145852509252
42,"Male","smoker",0.00059,0.000590174118489954
43,"Male","smoker",0.00257,0.00257330811912628
44,"Male","smoker",0.00273,0.00273373324605584
45,"Male","smoker",0.00285,0.00285406898290647
46,"Male","smoker",0.00304,0.00304463018622523
47,"Male","smoker",0.00323,0.00323522771003748
48,"Male","smoker",0.00345,0.00345596497339036
49,"Male","smoker",0.00369,0.00369682484428976
50,"Male","smoker",0.00397,0.00397790136922374
51,"Male","smoker",0.00429,0.0042992284528324
52,"Male","smoker",0.00465,0.00466084488219467
53,"Male","smoker",0.00506,0.00507284514929092
54,"Male","smoker",0.00551,0.00552523604283804
55,"Male","smoker",0.00602,0.00603819325233361
56,"Male","smoker",0.00661,0.00663194279804792
57,"Male","smoker",0.00727,0.007296555232638
58,"Male","smoker",0.00803,0.00806241409004466
59,"Male","smoker",0.00889,0.00892975182116292
60,"Male","smoker",0.00988,0.00992913107788491
61,"Male","smoker",0.01102,0.0110811700108175
62,"Male","smoker",0.01231,0.0123863956510493
63,"Male","smoker",0.01375,0.0138454068220531
64,"Male","smoker",0.01531,0.0154284081572192
65,"Male","smoker",0.01706,0.0172071983377209
66,"Male","smoker",0.01892,0.0191012733024012
67,"Male","smoker",0.02088,0.021101069908054
68,"Male","smoker",0.02294,0.0232072163378181
69,"Male","smoker",0.02518,0.0255024404124231
70,"Male","smoker",0.02768,0.028070310595092
71,"Male","smoker",0.03053,0.0310057485636557
72,"Male","smoker",0.03375,0.0343326790805053
73,"Male","smoker",0.03726,0.0379718932535534
74,"Male","smoker",0.04097,0.0418329220019616
75,"Male","smoker",0.04476,0.0457926611736754
76,"Male","smoker",0.04852,0.0497366119098292
77,"Male","smoker",0.05223,0.0536434221969016
78,"Male","smoker",0.05594,0.0575655555344106
79,"Male","smoker",0.05985,0.0617158419806534
80,"Male","smoker",0.06403,0.0661718543002496
81,"Male","smoker",0.06866,0.0711308696628247
82,"Male","smoker",0.07339,0.0762225139145041
83,"Male","smoker",0.08055,0.0839796137952749
84,"Male","smoker",0.08864,0.0928172896386355
85,"Male","smoker",0.09784,0.102963391058105
86,"Male","smoker",0.10828,0.114603097024759
87,"Male","smoker",0.1199,0.127719741602371
88,"Male","smoker",0.13264,0.142301163470109
89,"Male","smoker",0.14594,0.157753830050276
90,"Male","smoker",0.15964,0.17392490752671
91,"Male","smoker",0.17322,0.190216641113929
